id,label,PC1,PC2
SP001,1,-0.030717641787714186,-0.06186170493260679
SP002,1,-0.1900167258574313,0.1484172816438688
SP003,1,-0.009300387460555358,-0.07179175849747466
SP004,1,-0.013884787256544927,-0.07124157430092364
SP005,1,-0.005489971484071639,-0.06801724002012818
SP006,1,-0.25410652906692216,0.21580820964631967
SP007,1,0.15810440352028468,0.046803464990061446
SP008,1,-0.19389426991017877,0.1463633245867529
SP009,1,-0.1809330095303567,0.1376346373111777
SP010,1,-0.15346133633254072,0.08321585597019122
SP011,1,-0.218426118283337,0.17640770578416903
SP012,1,-0.18874630221612143,0.13661682594438251
SP013,1,0.007088265514382566,-0.06275294059632915
SP014,1,-0.0175412953830999,-0.058047322480990524
SP015,1,-0.23304527044849566,0.19270230058687882
SP016,1,-0.2125075421279106,0.16952950203234304
SP017,1,-0.009156491919129678,-0.06158299139526228
SP018,1,-0.3720651151010736,0.347799649153485
SP019,1,-0.13241976727196775,0.0778334798950113
SP020,1,-0.015099380925781383,-0.08846804300589255
SP021,1,0.32614439672793544,0.15331173409080262
SP022,1,0.42421059334946865,0.2154656082748431
SP023,1,0.365198297560445,0.16274725748755317
SP024,1,0.3293412560579979,0.14228356766886296
SP025,1,0.28008490292277866,0.09843721560841735
SP026,1,0.32324322392534166,0.11451223765926938
SP027,1,0.46007846536689545,0.22544270121715937
SP028,1,0.23725788837674402,0.07895212707546898
SP029,1,0.5326486853672668,0.2904651344594171
SP030,1,0.29350918309244917,0.1030659950175789
SP031,1,0.3644190450536708,0.157945403795003
SP032,1,0.29895630313855887,0.13688741584402275
SP033,1,0.3315077250426762,0.1354979616423343
SP034,1,0.3903643749871209,0.17931213217995187
SP035,1,0.5246031632223238,0.26447574947913033
SP036,1,0.1754471459627662,0.04273554390631552
SP037,1,0.5585858068869389,0.2881990168793652
SP038,1,0.1702061291867836,0.040483654380325966
SP039,1,0.4960587933308891,0.253736392788166
SP040,1,0.5479440316661199,0.28223121143807306
SP041,1,0.1566546650267774,0.03592374924786216
SP042,1,0.6085545540618827,0.33133159679990976
SP043,1,0.5689041625041102,0.31394370155717494
SP044,1,0.5654937251065025,0.31205672925952926
SP045,1,0.5914672157556022,0.33390224660166656
SP046,1,0.545763507747974,0.293786026293376
SP047,1,0.168290350534251,0.03560219067333435
SP048,1,0.17023965826070503,0.042004840622134186
SP049,1,0.6492652748715998,0.35533137836790873
SP050,1,0.6575063602896737,0.3555359162457253
SP051,1,0.019789879382883117,-0.062491372469163135
SP052,1,0.5094744215624564,0.3049472295348393
SP053,1,0.49597115370525363,0.2583040685225793
SP054,1,0.22415420165544275,0.07478375088244985
SP055,1,0.47277881696466423,0.26244199017791886
SP056,1,0.4618833551498187,0.21290224141190267
SP057,1,-0.10031001760396754,0.0894935700749403
SP058,1,-0.2971355605532125,0.25951603576560067
SP059,1,-0.06541788739082624,0.00237734058850073
SP060,1,-0.03708253763509554,-0.0481744854118849
SP061,1,-0.2116517908191842,0.15101573992291834
SP062,1,-0.30292703368526075,0.2752621300021578
SP063,1,-0.24083179987759112,0.18825813663965202
SP064,1,-0.06366241867701519,-0.026409170575372197
