id,label,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
SP001,1,-0.12976591289479378,-0.10485635365665447,0.14410010852013203,-0.03876714283889768,0.0039396777584610595,-0.02765390636356136,-0.010118589250591633,0.05349107399944094,0.04103757372646168,-0.04840081378696045,0.07098686117619322,0.018698751286603765,-0.0994949480740008,0.18522809936510726,0.020122038911653903,-0.06278184380736332,-0.012332211581478804,0.016349957892113305,0.057801171828076606,-0.09082101854325413
SP002,1,-0.12018844495188202,0.016480524357175945,-0.1049955307180345,0.40928735471636296,-0.17413760086065694,-0.030600928454014135,-0.46477998312033425,-0.15746485586442438,0.12376329976325441,0.045219582757523455,-0.003149272257645558,0.03256222286465311,0.04786702245195262,0.023244651786876333,0.044246247366001544,-0.024013258053877728,-0.14079760967075733,0.05670607875306805,-0.12168933589230815,0.1270851200910306
SP003,1,-0.09025123713631587,0.02254879976987919,-0.09312906814810183,0.37705884748607216,-0.16774848315710028,-0.03232612338880488,-0.3965370924798869,-0.12492086536562556,0.07759560978687315,0.03487566959561108,-0.04771344044999839,0.037428978022792346,0.03468012512009043,0.03088621464225607,0.02992193707609931,-0.01741397154465491,-0.10127940414748438,0.04833990411620454,-0.07394867827485843,0.12258127482992445
SP004,1,-0.09373595202102965,0.05919783749246695,-0.08308129929138741,0.38774909800366275,-0.16025422981661427,-0.02530950465515095,-0.3987549991389754,-0.1375367806032742,0.08041712737632789,0.012961022503916063,-0.005236632208813901,0.04087230161470366,0.045003669735060904,0.027435132582823533,0.049752861636471565,-0.005993998337683351,-0.0917266244781743,0.01418594787886216,-0.04500137162635867,0.10939407200737727
SP005,1,-0.11705019911893264,0.029495502228355765,-0.09115340801913782,0.380016998021256,-0.16742350518345295,-0.010019476614511354,-0.43290399760311726,-0.144516949770258,0.10942529727204803,0.042934742316901205,-0.009401753005344354,0.04631164468826851,0.034214611363198026,0.038314513540888134,0.030506637617502743,-0.020395905560058745,-0.1698284924193901,0.06919960263163495,-0.1475006822098666,0.16290287877744583
SP006,1,0.21099997211945598,-0.004555634658813528,-0.0033389345965207247,0.008876953893973711,-0.07252237688691149,-0.09710845596359209,0.01863689868255093,0.04056583457367443,-0.06998458003479838,-0.3445808308140644,0.08180987993856147,-0.24200789876996295,0.24273080225579102,0.03397069501593687,-0.021980123805226924,-0.042321782680693774,-0.01895709972773149,0.22112252834112547,-0.06598555481428489,0.1012126426908412
SP007,1,0.011459926581257631,0.053715520483505,-0.009856003356326646,0.01675499397659004,0.06604615043608855,0.04075858933675583,0.006415572442112181,0.013861333835801893,-0.0643806440223362,-0.009200934470147921,0.0988601789906715,-0.042079494426871776,0.005019280164828751,-0.01254515072255637,-0.05222255132325462,0.018352402880882246,0.042783031230114024,0.12291102245750767,-0.054946989304781355,0.05495919368939638
SP008,1,-0.003930966871311329,0.07806850069950896,-0.010913745999416045,0.017770684856506066,0.04214580756222678,-0.000504063827946845,-0.0023276873805663494,0.029348442303211736,-0.06057845656882639,-0.1041922452407768,0.08400695964175213,-0.04025102810511347,-0.01703573109993299,0.002430801209972623,-0.0504134271332632,0.030889189905653654,0.07558020922893814,0.09180608380568915,-0.0437661853361801,0.049222430553867255
SP009,1,-0.08922351501327058,-0.023971132285072357,0.020739813207174284,0.041798529036459364,0.04840942632294674,-0.01165718276755675,-0.010203757291148252,0.00021883813331544574,-0.07906607842038171,0.018237488672658307,0.0375296960511001,-0.022219232023807933,-0.07412139702593065,-0.07483772812190935,-0.19540750440786392,0.043928812575632775,0.049342686663414854,0.28269082809209134,-0.1868512716349141,-0.035146060141347524
SP010,1,-0.09016657748593467,0.001964430148526784,-0.03111497041886923,0.05875232928994144,0.08161261964570682,-0.06277841413647067,-0.014428624887583112,-0.04678420760292347,-0.06716816941598612,0.03606351412954682,0.024134220073372997,-0.027396121247020514,-0.05813360006580507,-0.11269496508410981,-0.23879786930742122,0.004659586297479744,0.009890587852971278,0.24475471928974654,-0.17411197680534865,-0.033496033714853865
SP011,1,-0.08108900283178688,0.011334667579024153,-0.015827387389921968,0.09289831343914078,0.010181060985415739,0.007165118093672841,0.021622997717621845,0.015177802326902088,-0.06738667350261661,0.016993980467485396,0.01584842422661158,-0.031752372399118524,-0.07138473151757906,-0.016074067846542313,-0.11266735869232473,0.033186846795557744,0.18080598561648473,-0.007475468416645698,0.012123344337557506,-0.19446018527680578
SP012,1,-0.11439909965298009,0.019935114053643805,-0.07250438801534996,0.3435974086355239,-0.11698962052674111,0.005660462675107428,-0.34204361557180163,-0.11023700429114797,0.058109278197881094,0.07765959790270605,-0.02964165919473179,0.02359436853984127,0.010383515872544168,-0.015924944933470703,0.011824666386539149,-0.021097784579590356,-0.0846233600929781,0.12006853961435636,-0.10281889048940383,0.04086244866026468
SP013,1,-0.07772928273932535,-0.017834924578368824,-0.01918188028441087,0.03604419318835076,0.03946637972297999,-0.003579057440959387,-0.01636359497702151,0.041526562898304545,-0.053898036894721106,0.0028348021341090316,0.04877862215662696,-0.016745593248035342,-0.05009809532481167,0.012114171400131416,-0.07740173049706774,0.07999096959151582,-0.012104545575480474,0.06577106202540577,-0.03969735520393932,-0.01689879466129258
SP014,1,-0.08182022217654966,-0.011480383091178315,-0.030326969924797838,0.04154673471196116,0.023865139494016255,0.008981777557321125,-0.035406028623984204,0.02216733342640272,-0.06308205355619424,0.015106433939252527,0.049683921882890815,-0.05360375259501164,-0.05115660284347163,-0.014066337485663527,-0.11091161140694943,-0.0033404180856768167,0.019571166401553375,0.039348040413287384,-0.06954324047311664,-0.07981082938296084
SP015,1,-0.09964848027384701,0.09479837567237905,-0.0019998971941570477,0.12176381488434161,-0.025343396951209334,-0.004708195141965592,-0.1405655110986501,-0.03598565287609894,-0.01760731567723671,0.04940749021817908,0.0010965394116134522,-0.012978719105688803,-0.011354988645469759,-0.003667517881173273,-0.06627430954455082,0.012120523545084657,-0.0010032577998247817,0.11051564068864428,-0.08815567084577693,-0.0015841729269561477
SP016,1,-0.10099181821870716,0.03336319323263909,-0.034405721522680004,0.013579491644447545,0.016907519248169158,-0.013016333474414577,-0.044730209215774634,0.041202439447952745,-0.0782546166356601,-0.010483259527995744,0.03354815513701646,-0.022933721390603738,-0.09327229923073194,-0.02960755227995251,-0.055217364061300726,-0.0072398033855055255,0.035914658970610254,0.02338826008020355,-0.02805941732766138,-0.07517418693994767
SP017,1,-0.09659528040961228,0.03918673806282656,-0.03982550098397671,0.04044628598328339,-0.009022133416729172,-0.010806345786753211,-0.06761545395493625,0.03547892188546451,-0.07087727563195999,-0.02428189870031268,0.0068309070707611805,-0.042316606694387957,-0.09139337559549846,-0.028377091776099324,-0.011888916638096722,-0.05295806095555702,0.022951803412605744,0.03968464612113738,-0.07006223826065651,-0.09443999360148987
SP018,1,-0.09932877807778796,-0.01885544720374106,-0.010889790763570436,0.051000111374763964,0.016346460056013336,-0.005428568912241117,-0.01667612354626662,0.06680457196941864,-0.04564723520849447,0.007971967095906241,0.027628305418286966,-0.01763091281913473,-0.03127483961578979,0.016193469744738054,-0.11267923262476909,0.0004728140005387994,0.07848124120483348,0.030100943619300453,-0.10120588606353542,-0.08268848460630689
SP019,1,0.2602692861891315,0.0005296214276968752,-0.012784239083979292,0.005591610794774284,-0.08103815133350699,-0.0815870975188065,-0.003782711332394577,0.015231203086361576,-0.022688550496624316,-0.38688632213279944,0.07878732283207535,-0.19120536452926346,0.2345119794905777,0.025503718652103748,0.011209497101888215,-0.040137069809861245,-0.029723228903510934,0.18366165828399456,-0.039838106076535575,0.10243593111201522
SP020,1,0.5723124858620449,-0.01873115571338478,0.030099946606202785,-0.034262503589379815,-0.06693998184022314,-0.055180656370028426,-0.002003909471890662,-0.01844215122086902,0.04088390478327629,0.019593344731383498,-0.1019387782065699,0.08294922385846124,-0.06230600199313739,-0.018716122767780265,-0.009559307443253378,0.015257602501613954,0.005714821428144945,-0.05326426963436921,0.012862744702895243,-0.015366757161058625
SP021,1,0.2433185027177489,-0.005156813654157449,0.0021501818709666115,0.007341709667063729,0.006287233591880709,-0.028252833223946037,-0.011186536133703491,0.01623123722945246,-0.06680672315912058,-0.10437519196153087,0.0909259107246973,-0.06030829668924061,0.06695547684027488,-0.025919405067314886,0.02401701340246862,0.014013152875922847,-0.021125436124343287,-0.1023567230370104,0.05454263883450443,-0.09237849416820405
SP022,1,0.1882803503360564,-0.01238805071652428,-0.018642800655261957,0.022773126512575362,0.005539577920992249,-0.03182668583194102,-0.05690893305638659,0.03617788854565971,-0.14275021287041523,0.0308973890291154,0.28753696582425337,-0.12861386301399208,0.11440495340609774,-0.029919869964252294,0.05931778309235239,0.01974674040505978,0.022971012798289874,-0.18628845606630953,0.0884334523918332,-0.0843605399169299
SP023,1,0.2321123952985621,0.022049546786285054,-0.0026907099557184856,-0.0058735188286277145,0.031617876039823,0.004145761109729075,-0.04350068421582971,0.011322100702386768,-0.0729475438607449,-0.028556313900481745,0.15453927669850304,-0.08855456941703621,0.05399058705539994,-0.01873421305630649,0.04949045189190634,0.02927481645724838,0.019333207816503963,-0.16183300984281385,0.034530565849776665,-0.08273539223789872
SP024,1,0.08756943473636083,-0.0007466152821372803,-0.026725009266539385,-0.0010684705537480832,0.017222349230142233,-0.036072107268193015,-0.047457737085539624,0.044882608579719666,-0.14030228719930998,0.05804151116034258,0.2600453104120483,-0.13514095924667527,0.09243118232201213,-0.0008098696107180801,0.08105452580481662,0.042022491003079095,0.014796237259501029,-0.16311164296130348,0.01592346620746934,-0.05242597352556419
SP025,1,0.3920802759260995,-0.009866647670882567,0.012188228831411713,-0.016494986983750872,-0.04044053450066604,-0.050814612480229185,0.000941474684008242,0.003032895584601997,-0.021932295290752604,-0.12063373367877882,0.0013459931569112123,-0.04345039195148397,0.024991507837199754,0.002801769537004177,0.03281606859961084,-0.0009926099178543901,0.03702461644664075,-0.03153926742243876,0.028184524720728583,-0.02889811639815779
SP026,1,0.21865729386118782,-0.00480869955812796,-0.015227239415970999,0.0024256491573254302,-0.03218712778595423,-0.05734000028696411,-0.03615642238524349,0.03203874289384297,-0.11662941029476864,0.11386159340216423,0.21986866354343507,-0.06819264317985434,0.07275470945921761,0.0025274238735162463,0.0502994269956415,0.040876828214968346,0.01861054411430017,-0.1675711886777778,0.0884087066555621,-0.05692205545597794
